n_neighbors,weights,metric,recall,accuracy,precision,f1,train_time,pred_time
19,uniform,manhattan,0.992,0.9567857142857141,0.950952380952381,0.9685858585858586,0.0006105852127075195,0.006390981674194336
19,uniform,manhattan,0.992,0.9567857142857141,0.950952380952381,0.9685858585858586,0.0006061267852783204,0.006354908943176269
38,distance,manhattan,0.992,0.9542857142857142,0.9485714285714286,0.967070707070707,0.0006232452392578125,0.006408553123474121
38,distance,manhattan,0.992,0.9542857142857142,0.9485714285714286,0.967070707070707,0.0006511831283569336,0.006729664802551269
46,uniform,manhattan,0.992,0.9542857142857142,0.9495238095238097,0.9673737373737373,0.0006044435501098632,0.006202058792114258
37,distance,euclidean,0.992,0.9542857142857142,0.9485714285714286,0.967070707070707,0.000568232536315918,0.006009697914123535
43,distance,manhattan,0.992,0.9542857142857142,0.9495238095238097,0.9673737373737373,0.0005990552902221679,0.006309900283813476
44,uniform,manhattan,0.992,0.9542857142857142,0.9495238095238097,0.9673737373737373,0.0005843639373779297,0.006031150817871094
51,distance,manhattan,0.992,0.9517857142857141,0.9461904761904762,0.9655555555555554,0.0005946588516235351,0.006294159889221191
43,distance,euclidean,0.992,0.9517857142857141,0.9452380952380953,0.9652525252525251,0.0006181097030639648,0.006490650177001953
47,uniform,manhattan,0.992,0.9517857142857141,0.9461904761904762,0.9655555555555554,0.0005949544906616211,0.006163325309753418
48,uniform,manhattan,0.992,0.9517857142857141,0.9461904761904762,0.9655555555555554,0.000597062110900879,0.006425342559814453
63,distance,euclidean,0.992,0.9492857142857142,0.9421904761904762,0.9637777777777776,0.0005994272232055664,0.0066508293151855465
63,distance,euclidean,0.992,0.9492857142857142,0.9421904761904762,0.9637777777777776,0.000624547004699707,0.006558494567871094
65,distance,euclidean,0.992,0.9492857142857142,0.9421904761904762,0.9637777777777776,0.0006080818176269531,0.006654386520385742
69,uniform,euclidean,0.992,0.9392857142857142,0.928857142857143,0.9569090909090909,0.0005943679809570313,0.006941499710083007
69,uniform,euclidean,0.992,0.9392857142857142,0.928857142857143,0.9569090909090909,0.0006382036209106446,0.0075842332839965824
82,uniform,euclidean,0.992,0.9292857142857142,0.9155238095238096,0.9496363636363634,0.0005833816528320313,0.0069631290435791015
81,uniform,euclidean,0.992,0.9267857142857142,0.9121904761904761,0.9478181818181817,0.0005789422988891602,0.006893587112426758
90,distance,euclidean,0.992,0.9267857142857142,0.9121904761904763,0.9478181818181817,0.0006303167343139648,0.006728248596191406
90,distance,euclidean,0.992,0.9267857142857142,0.9121904761904763,0.9478181818181817,0.0005999469757080078,0.006538996696472168
86,uniform,euclidean,0.992,0.9267857142857142,0.9121904761904761,0.9478181818181817,0.0006838846206665039,0.007537498474121094
89,uniform,euclidean,0.992,0.9242857142857142,0.908857142857143,0.946,0.0005548906326293946,0.007107405662536621
73,uniform,euclidean,0.992,0.9242857142857142,0.908857142857143,0.946,0.0005369472503662109,0.0064148569107055665
89,uniform,euclidean,0.992,0.9242857142857142,0.908857142857143,0.946,0.0005921649932861328,0.007379789352416993
88,uniform,euclidean,0.992,0.9242857142857142,0.908857142857143,0.946,0.0006043243408203125,0.0071164464950561526
130,distance,euclidean,0.992,0.9139285714285714,0.8974285714285715,0.938929292929293,0.0005574607849121093,0.0064033126831054684
129,distance,euclidean,0.992,0.9139285714285714,0.8974285714285715,0.938929292929293,0.0006115531921386719,0.00659698486328125
132,distance,euclidean,0.992,0.9139285714285714,0.8974285714285715,0.938929292929293,0.0005827617645263672,0.006503305435180664
134,distance,euclidean,0.992,0.9114285714285714,0.8950476190476191,0.9374141414141414,0.0005872011184692383,0.00635035514831543
141,distance,euclidean,0.992,0.9114285714285714,0.8950476190476191,0.9374141414141414,0.0005824708938598633,0.006285877227783203
137,distance,euclidean,0.992,0.9114285714285714,0.8950476190476191,0.9374141414141414,0.0006285285949707031,0.006816534996032715
124,uniform,euclidean,0.992,0.9089285714285714,0.8907619047619048,0.9352929292929294,0.0005798149108886719,0.007072629928588867
124,uniform,euclidean,0.992,0.9089285714285714,0.8907619047619048,0.9352929292929294,0.0005887842178344726,0.007040901184082031
116,uniform,euclidean,0.992,0.9089285714285714,0.8907619047619048,0.9352929292929294,0.0005528497695922852,0.006688880920410156
150,distance,euclidean,0.992,0.9089285714285714,0.8917142857142858,0.9355959595959596,0.0006160688400268555,0.0070178937911987305
117,uniform,euclidean,0.992,0.9089285714285714,0.8907619047619048,0.9352929292929294,0.0006029701232910156,0.007292098999023437
147,distance,euclidean,0.992,0.9089285714285714,0.8917142857142858,0.9355959595959596,0.0006209993362426757,0.006736679077148438
123,uniform,euclidean,0.992,0.9089285714285714,0.8907619047619048,0.9352929292929294,0.0006028270721435547,0.0070524787902832035
113,uniform,euclidean,0.992,0.9089285714285714,0.8907619047619048,0.9352929292929294,0.0005492067337036133,0.006751708984375
136,uniform,euclidean,0.992,0.9064285714285714,0.8883809523809525,0.9337777777777778,0.0005905246734619141,0.007197723388671875
129,uniform,euclidean,0.992,0.9064285714285714,0.8883809523809525,0.9337777777777778,0.0005729055404663086,0.007121572494506836
128,uniform,euclidean,0.992,0.9064285714285714,0.8883809523809525,0.9337777777777778,0.0005939006805419922,0.00725888729095459
138,uniform,euclidean,0.992,0.9064285714285714,0.8883809523809525,0.9337777777777778,0.0006028604507446289,0.0074571514129638675
127,uniform,euclidean,0.992,0.9064285714285714,0.8883809523809525,0.9337777777777778,0.0006079578399658203,0.007487454414367676
142,uniform,euclidean,0.992,0.9039285714285714,0.8860000000000001,0.9322626262626262,0.0005792760848999023,0.007209529876708984
144,uniform,euclidean,0.992,0.9014285714285714,0.8826666666666668,0.9304444444444444,0.0006087779998779297,0.0075705194473266605
36,uniform,euclidean,0.9880000000000001,0.9517857142857141,0.947904761904762,0.9648888888888888,0.0006068849563598633,0.007068853378295898
35,uniform,euclidean,0.9880000000000001,0.9517857142857141,0.947904761904762,0.9648888888888888,0.0006023216247558594,0.007085475921630859
41,distance,euclidean,0.9880000000000001,0.9492857142857142,0.9445714285714287,0.963070707070707,0.0006024456024169922,0.006389851570129394
33,uniform,chebyshev,0.9880000000000001,0.9267857142857143,0.9139047619047621,0.9471515151515152,0.0006164789199829101,0.006300458908081055
37,distance,chebyshev,0.9880000000000001,0.9267857142857143,0.9139047619047621,0.9471515151515152,0.0006061458587646485,0.006259632110595703
38,distance,chebyshev,0.9880000000000001,0.9242857142857143,0.9105714285714286,0.9453333333333335,0.0006163930892944336,0.006569991111755371
13,uniform,euclidean,0.988,0.969642857142857,0.9693333333333334,0.977010101010101,0.000634312629699707,0.00723287582397461
4,distance,euclidean,0.988,0.9671428571428571,0.9660000000000001,0.9751919191919192,0.0004990768432617188,0.0051746368408203125
17,distance,euclidean,0.988,0.9646428571428571,0.9626666666666667,0.9733737373737373,0.0005960416793823242,0.006538157463073731
15,uniform,euclidean,0.988,0.9621428571428571,0.9593333333333334,0.9715555555555556,0.0005801439285278321,0.007040190696716309
20,uniform,euclidean,0.988,0.9621428571428571,0.9593333333333334,0.9715555555555556,0.0005961418151855469,0.006824283599853515
21,uniform,euclidean,0.988,0.9621428571428571,0.9593333333333334,0.9715555555555556,0.000632181167602539,0.007397727966308594
33,distance,manhattan,0.988,0.9542857142857142,0.951904761904762,0.9666666666666666,0.0005921173095703125,0.0062824726104736325
32,uniform,manhattan,0.988,0.9542857142857142,0.951904761904762,0.9666666666666666,0.0005937862396240234,0.006238536834716797
62,distance,chebyshev,0.988,0.9092857142857143,0.8905714285714287,0.9344242424242425,0.0006269121170043945,0.006520524024963379
59,uniform,chebyshev,0.988,0.9064285714285714,0.8872380952380954,0.9326060606060607,0.0005839920043945313,0.00629603385925293
64,uniform,chebyshev,0.988,0.9064285714285714,0.8872380952380954,0.9326060606060607,0.0005818271636962891,0.006103048324584961
61,distance,chebyshev,0.988,0.9064285714285714,0.8872380952380954,0.9326060606060607,0.0006044960021972656,0.006456136703491211
58,uniform,chebyshev,0.988,0.9064285714285714,0.8872380952380954,0.9326060606060607,0.0006062889099121094,0.006273317337036133
72,distance,chebyshev,0.988,0.9039285714285714,0.8848571428571429,0.9310909090909091,0.0005955076217651367,0.006351299285888672
75,distance,chebyshev,0.988,0.9039285714285714,0.8848571428571429,0.9310909090909091,0.0006324291229248047,0.006673564910888672
65,uniform,chebyshev,0.988,0.9014285714285714,0.8824761904761905,0.9295757575757575,0.0006121683120727539,0.006298298835754394
4,distance,manhattan,0.9840000000000001,0.97,0.9726666666666667,0.9766060606060606,0.0006033658981323242,0.006700310707092285
10,distance,manhattan,0.9840000000000001,0.9671428571428571,0.9693333333333334,0.9747878787878786,0.0005895853042602539,0.006091275215148926
7,distance,manhattan,0.9840000000000001,0.9671428571428571,0.9693333333333334,0.9747878787878786,0.00063446044921875,0.007045073509216309
9,distance,manhattan,0.9840000000000001,0.9646428571428571,0.9660000000000001,0.9729696969696969,0.000500941276550293,0.005715327262878418
17,uniform,manhattan,0.9840000000000001,0.9546428571428571,0.9536190476190477,0.966,0.000646371841430664,0.00655550479888916
30,uniform,euclidean,0.9840000000000001,0.9542857142857142,0.952952380952381,0.966040404040404,0.0005944490432739258,0.006961336135864258
25,distance,manhattan,0.9840000000000001,0.9492857142857142,0.9485714285714286,0.9626262626262624,0.000585331916809082,0.006087965965270996
46,uniform,euclidean,0.9840000000000001,0.9467857142857141,0.9439047619047619,0.9608888888888888,0.0006566238403320312,0.007117495536804199
26,uniform,chebyshev,0.9840000000000001,0.9342857142857143,0.9256190476190476,0.9515353535353536,0.0005668973922729492,0.006030015945434571
19,distance,chebyshev,0.9840000000000001,0.9342857142857143,0.9256190476190476,0.9515353535353536,0.0006200742721557618,0.006524324417114258
19,uniform,chebyshev,0.9840000000000001,0.9342857142857143,0.9256190476190476,0.9515353535353536,0.000611119270324707,0.006292991638183594
27,distance,chebyshev,0.9840000000000001,0.9267857142857143,0.9156190476190477,0.9464848484848486,0.0006684017181396484,0.006463418006896973
46,distance,chebyshev,0.9840000000000001,0.9242857142857143,0.9132380952380952,0.944969696969697,0.0005759286880493164,0.006016807556152344
42,uniform,chebyshev,0.9840000000000001,0.9217857142857143,0.9105714285714286,0.9431111111111111,0.0006002902984619141,0.006180448532104492
40,uniform,chebyshev,0.9840000000000001,0.9167857142857143,0.9032380952380952,0.9395151515151515,0.000581049919128418,0.006139664649963379
52,distance,chebyshev,0.9840000000000001,0.9139285714285714,0.899904761904762,0.9376969696969697,0.000642085075378418,0.00644205093383789
54,distance,chebyshev,0.9840000000000001,0.9089285714285714,0.8932380952380953,0.934060606060606,0.0006317758560180664,0.006589112281799317
59,distance,chebyshev,0.9840000000000001,0.9064285714285714,0.8899047619047619,0.9322424242424243,0.0005288219451904297,0.005635972023010254
81,distance,chebyshev,0.9840000000000001,0.8989285714285714,0.8824761904761905,0.9273535353535354,0.0005204534530639649,0.006053628921508789
84,distance,chebyshev,0.9840000000000001,0.8989285714285714,0.8824761904761905,0.9273535353535354,0.0006269979476928711,0.006493334770202637
90,distance,chebyshev,0.9840000000000001,0.8939285714285714,0.8758095238095239,0.9237171717171718,0.0006192779541015625,0.0064174699783325195
86,distance,chebyshev,0.9840000000000001,0.8939285714285714,0.8758095238095239,0.9237171717171718,0.0006104707717895508,0.006698479652404785
99,distance,chebyshev,0.9840000000000001,0.8839285714285714,0.8646666666666667,0.9173939393939393,0.0006215858459472656,0.006145882606506348
111,distance,chebyshev,0.9840000000000001,0.8764285714285713,0.8556190476190477,0.9122424242424243,0.0005947160720825195,0.006491293907165527
121,distance,chebyshev,0.9840000000000001,0.8714285714285714,0.8505714285714286,0.9088686868686868,0.0005830478668212891,0.006405091285705567
122,distance,chebyshev,0.9840000000000001,0.8689285714285714,0.8472380952380953,0.9070505050505049,0.0006081342697143554,0.006569633483886719
144,distance,chebyshev,0.9840000000000001,0.8639285714285714,0.8408571428571429,0.9037575757575758,0.0006325483322143554,0.006584138870239258
143,distance,chebyshev,0.9840000000000001,0.8614285714285714,0.8384761904761905,0.9022424242424242,0.0005842876434326171,0.006679720878601074
138,distance,chebyshev,0.9840000000000001,0.8614285714285714,0.8384761904761905,0.9022424242424242,0.0005440139770507813,0.005700817108154297
147,distance,chebyshev,0.9840000000000001,0.8589285714285714,0.8351428571428573,0.9004242424242423,0.0005993890762329102,0.006584539413452149
147,distance,chebyshev,0.9840000000000001,0.8589285714285714,0.8351428571428573,0.9004242424242423,0.0005827999114990235,0.006367144584655762
147,distance,chebyshev,0.9840000000000001,0.8589285714285714,0.8351428571428573,0.9004242424242423,0.0007136058807373047,0.007169685363769531
148,distance,chebyshev,0.9840000000000001,0.8589285714285714,0.8351428571428573,0.9004242424242423,0.0006335830688476563,0.006846361160278321
145,distance,chebyshev,0.9840000000000001,0.8589285714285714,0.8351428571428573,0.9004242424242423,0.0005936574935913086,0.00674832820892334
137,uniform,chebyshev,0.9840000000000001,0.8539285714285714,0.8303809523809526,0.8973939393939393,0.000619668960571289,0.006642322540283203
9,uniform,euclidean,0.98,0.9646428571428571,0.9693333333333334,0.9725656565656567,0.0006107473373413086,0.0071265935897827145
14,uniform,manhattan,0.98,0.9621428571428571,0.9660000000000001,0.9707474747474748,0.0005938148498535156,0.005783205032348633
15,distance,manhattan,0.98,0.9596428571428571,0.9626666666666667,0.968929292929293,0.000581817626953125,0.006224241256713867
13,distance,manhattan,0.98,0.9571428571428571,0.9593333333333334,0.967111111111111,0.0006164836883544921,0.006487007141113281
22,distance,chebyshev,0.98,0.9317857142857143,0.9242857142857143,0.9493939393939393,0.0006139183044433594,0.0070388889312744144
51,uniform,chebyshev,0.98,0.9064285714285714,0.8925714285714287,0.9318787878787879,0.0005866050720214844,0.006120538711547852
52,uniform,chebyshev,0.98,0.9064285714285714,0.8925714285714287,0.9318787878787879,0.000648198127746582,0.006521391868591309
52,uniform,chebyshev,0.98,0.9064285714285714,0.8925714285714287,0.9318787878787879,0.0006090831756591796,0.006208138465881348
72,uniform,chebyshev,0.98,0.8964285714285714,0.8818095238095239,0.9251717171717172,0.0005484867095947266,0.00513155460357666
75,uniform,chebyshev,0.98,0.8964285714285714,0.8818095238095239,0.9251717171717172,0.0005755233764648438,0.005935101509094238
76,uniform,chebyshev,0.98,0.8964285714285714,0.8818095238095239,0.9251717171717172,0.0005964565277099609,0.006309881210327149
86,uniform,chebyshev,0.98,0.8864285714285713,0.8694285714285716,0.9182020202020201,0.0006046390533447266,0.006100187301635742
86,uniform,chebyshev,0.98,0.8864285714285713,0.8694285714285716,0.9182020202020201,0.0006106996536254883,0.006280107498168945
93,uniform,chebyshev,0.98,0.8764285714285713,0.8580000000000001,0.9115353535353534,0.0007372808456420899,0.013668813705444337
104,distance,chebyshev,0.98,0.8739285714285714,0.8556190476190477,0.9100202020202021,0.0006182289123535156,0.006642198562622071
113,distance,chebyshev,0.98,0.8714285714285714,0.8532380952380954,0.9085050505050505,0.0006621932983398438,0.0069402742385864255
101,uniform,chebyshev,0.98,0.8664285714285714,0.8465714285714288,0.9048686868686869,0.0006590557098388672,0.006924839019775391
113,uniform,chebyshev,0.98,0.8639285714285714,0.8432380952380953,0.903050505050505,0.0005640029907226562,0.006063084602355957
128,distance,chebyshev,0.98,0.8639285714285714,0.8432380952380953,0.903050505050505,0.0007370376586914063,0.007535505294799805
129,uniform,chebyshev,0.98,0.8539285714285714,0.8327619047619049,0.8966868686868686,0.0005823802947998046,0.006201071739196777
127,uniform,chebyshev,0.98,0.8539285714285714,0.8327619047619049,0.8966868686868686,0.0006274366378784179,0.0065631866455078125
